FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
20 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,20.0,0.440934065934066
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.8269230769230771
20 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
20 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.7426739926739928
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,38.0,0.26739926739926745
20 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.3203125
20 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,19.0,0.37728937728937734
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,17.0,0.26739926739926745
24 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
24 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.7426739926739928
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,35.0,0.440934065934066
24 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,21.0,0.3203125
24 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,33.0,0.5833333333333334
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,38.0,0.26739926739926745
24 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.51953125
24 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,27.0,1.0
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,28.0,1.0
